Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,RSI,MA5,MA20
1757376000000,2025-09-09,BTCUSDT,112065.23,113293.29,110766.66,111546.39,15379.28248,1721465997.906366,2143242,113960.0,-1377.237461594563,114587.35799999998,113940.47149999999
1757289600000,2025-09-08,BTCUSDT,111137.35,112924.37,110621.78,112065.23,11582.40211,1295903862.4649603,1744598,111546.39,-1040.9399754165377,113816.746,113935.5355
1757203200000,2025-09-07,BTCUSDT,110187.98,111600.0,110180.0,111137.34,5681.29944,630447950.1588689,874961,112065.23,-85.86454047058004,112838.33,114010.61000000002
1757116800000,2025-09-06,BTCUSDT,110660.0,111307.7,109977.0,110187.97,5000.29897,552785936.5434699,795201,111137.34,-55.71042952819931,111779.38599999998,114037.8355
1757030400000,2025-09-05,BTCUSDT,110730.87,113384.62,110206.96,110659.99,21587.40888,2413132200.623325,2970419,110187.97,-71.08834986797112,111119.384,114121.1105
1756944000000,2025-09-04,BTCUSDT,111705.72,112180.0,109329.12,110730.87,12203.13536,1349031325.5320847,2230255,110659.99,-34.12637599997481,110956.28,113992.30399999997
1756857600000,2025-09-03,BTCUSDT,111240.01,112575.27,110528.71,111705.71,11773.72084,1313762617.3436644,2214249,110730.87,-66.20496511932024,110884.376,113977.64950000001
1756771200000,2025-09-02,BTCUSDT,109237.43,111771.52,108393.39,111240.01,18510.28756,2042681451.9016385,2596328,111705.71,-50.423773867128006,110904.91,113907.10049999999
1756684800000,2025-09-01,BTCUSDT,108246.36,109912.4,107255.0,109237.42,16053.60219,1742516638.781135,2729384,111240.01,-45.77646021376606,110714.8,113607.357
1756598400000,2025-08-31,BTCUSDT,108816.33,109480.02,108076.93,108246.35,9489.51596,1031806894.3513318,1366633,109237.42,-39.84798466459512,110232.072,113235.393
1756512000000,2025-08-30,BTCUSDT,108377.4,108926.15,107350.1,108816.33,10708.39159,1160666772.7387524,1411040,108246.35,-38.26676016198351,109849.16400000002,112894.5905
1756425600000,2025-08-29,BTCUSDT,112566.9,112638.64,107463.9,108377.4,22580.31045,2475492492.5775294,3606959,108816.33,-34.06368514457614,109183.50200000001,112459.78400000001
1756339200000,2025-08-28,BTCUSDT,111262.01,113485.9,110862.42,112566.9,11104.27744,1250788481.9453218,2066780,108377.4,-233.07782796429015,109448.88,112265.74949999999
1756252800000,2025-08-27,BTCUSDT,111763.22,112625.0,110345.42,111262.01,13392.60875,1493774927.1908317,3111496,112566.9,-251.8934466028407,109853.798,111989.402
1756166400000,2025-08-26,BTCUSDT,110111.98,112371.0,108666.66,111763.22,18452.43877,2033437347.4999392,4077474,111262.01,3365.433749942322,110557.17199999999,111810.07749999998
1756080000000,2025-08-25,BTCUSDT,113493.59,113667.28,109274.1,110111.98,25182.79379,2805570653.6310234,4695718,111763.22,-347.0334058620251,110816.302,111552.276
1755993600000,2025-08-24,BTCUSDT,115438.06,115666.68,110680.0,113493.59,21175.98462,2411284606.189176,2573906,110111.98,431.195331564987,111839.54,111431.04100000001
1755907200000,2025-08-23,BTCUSDT,116936.0,117030.0,114560.0,115438.05,11329.36197,1308825428.0143583,1559569,113493.59,230.55839149117747,112413.76999999999,111401.4725
1755820800000,2025-08-22,BTCUSDT,112500.0,117429.05,111684.79,116935.99,23128.09037,2656625122.2777863,3438518,115438.05,209.2163798597835,113548.56599999999,111474.13749999998
1755734400000,2025-08-21,BTCUSDT,114271.23,114821.76,112015.67,112500.0,10839.69235,1227373788.615563,2357380,116935.99,738.1899577758551,113695.92199999999,111401.1375
